trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.1, 'e': 0.8261686238355865}",30,4,-105.55823338925813,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 0.1, 'e': 0.8179069375972307}",30,0,-97.02187193487099,"{0: 19, 1: 7, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.8097278682212583}",30,0,-132.95845020685346,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.8016305895390458}",30,0,-41.11321546930128,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.7936142836436553}",25,17,-1.3787757882563128,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.7856781408072188}",20,0,-133.72452994432942,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
25,False,"{'a': 0.1, 'e': 0.7778213593991465}",20,14,-43.395179749408065,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.1, 'e': 0.7700431458051551}",30,4,-50.18311256837916,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.7623427143471035}",20,0,-111.18484698207035,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.7547192872036325}",30,0,-137.27730378196173,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.1, 'e': 0.7471720943315961}",30,11,-64.39575212173843,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
30,False,"{'a': 0.1, 'e': 0.7397003733882802}",20,0,-31.545105575780703,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.7323033696543974}",30,0,-2.584154555026105,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.7249803359578534}",30,3,-95.32194612764688,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 2}",1
33,False,"{'a': 0.1, 'e': 0.7177305325982748}",20,3,-23.611764947478047,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.1, 'e': 0.7105532272722921}",30,0,-129.1441213537902,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.7034476949995692}",30,10,-44.52478090671109,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
36,False,"{'a': 0.1, 'e': 0.6964132180495735}",20,7,-75.29161412112876,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
37,False,"{'a': 0.1, 'e': 0.6894490858690777}",20,0,-7.869101876471371,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
